Banco,Sucursal,Direccion,Ciudad,Pais,Latitud,Longitud

Banco Popular ,Alcala,"Alcala, 26",Madrid,Espana,29.853171,-95.2505329

Banco Popular ,General Ricardos,"General Ricardos, 151",Madrid,Espana,40.3926184,-3.7251941

Banco Popular ,Fuencarral,"Fuencarral, 134",Madrid,Espana,40.4950279,-3.6921711

Banco Popular ,Gta. Cuatro Caminos,"Glorieta Cuatro Caminos, 4",Madrid,Espana,40.4472909,-3.7042116

Banco Popular ,Fernando el Catolico,"Fernando el Catolico, 21",Madrid,Espana,-32.9409902,-60.6810464

Banco Popular ,Avenida Ciudad de Barcelona,"Avenida Ciudad de Barcelona, 35",Madrid,Espana,-2.1900601,-79.9320203

Banco Popular ,Lopez de Hoyos,"Lopez de Hoyos, 67",Madrid,Espana,40.466459,-3.6545747

Banco Popular ,Conde de Penalver,"Conde de Penalver, 22",Madrid,Espana,40.4273858,-3.6753045

Banco Popular ,Velazquez,"Velazquez, 34",Madrid,Espana,41.7728418,-0.3260693

Banco Popular ,Doctor Esquerdo,"Doctor Esquerdo, 3",Madrid,Espana,37.6963638,-6.5913069

Banco Popular ,Jose Abascal,"Jose Abascal, 18",Madrid,Espana,-0.277707,-78.4719448

Banco Popular ,Santa Isabel,"Santa Isabel, 12",Madrid,Espana,-12.0636292,-76.9568903

Banco Popular ,Marcelo Usera,"Marcelo Usera, 122",Madrid,Espana,40.3851478,-3.7142072

Banco Popular ,Mayor,"Mayor, 5",Madrid,Espana,42.5840295,-4.2266297

Banco Popular ,Paseo Sta. Maria de La Cabeza,"Paseo Santa Maria de La Cabeza, 19",Madrid,Espana,40.6602429,-4.7018006

Banco Popular ,Jose Ortega Y Gasset,"Jose Ortega Y Gasset, 23",Madrid,Espana,-2.9160237,-79.0099174

Banco Popular ,Gran Via,"Gran Via, 67",Madrid,Espana,37.8555825636,-122.037472408

Banco Popular ,Princesa,"Princesa, 72",Madrid,Espana,-26.4452736,-53.5999129

Banco Popular ,Alcala,"Alcala, 372",Madrid,Espana,29.853171,-95.2505329

Banco Popular ,Marcos de Orueta,"Marcos de Orueta, 1",Madrid,Espana,40.4847769,-3.6861292

Banco Popular ,Marceliano Santa Maria,"Marceliano Santa Maria, 10",Madrid,Espana,42.34280115,-3.69500489666

Banco Popular ,Avenida General Peron,"Avenida General Peron, 30",Madrid,Espana,-32.2386846,-63.9741756

Banco Popular ,Avenida de La Albufera,"Avenida de La Albufera, 61",Madrid,Espana,40.3905435,-3.647406
Banco Popular ,Embajadores,"Embajadores, 78",Madrid,Espana,25.6517913,-100.3121103

Banco Popular ,Luchana,"Luchana, 40",Madrid,Espana,43.370514,-8.3983227

Banco Popular ,Arturo Soria,"Arturo Soria, 324",Madrid,Espana,40.4487008,-3.6505874

Banco Popular ,Ruiz de Alarcon,"Ruiz de Alarcon, 25",Madrid,Espana,40.0722162,-2.1309783

Banco Popular ,Fuencarral,"Fuencarral, 79",Madrid,Espana,40.4950279,-3.6921711

Banco Popular ,Plaza San Miguel,"Plaza San Miguel, 7",Madrid,Espana,41.649767,-0.8759659

Banco Popular ,Fernan Gonzalez,"Fernan Gonzalez, 71",Madrid,Espana,37.6687875,-4.7237462

Banco Popular ,Luisa Fernanda,"Luisa Fernanda, 8",Madrid,Espana,3.4100185,-76.5642362492

Banco Popular ,Guzman el Bueno,"Guzman el Bueno, 21",Madrid,Espana,37.6934288,-6.5487773

Banco Popular ,Paseo de La Habana,"Paseo de La Habana, 151",Madrid,Espana,40.46350365,-3.680424842

Banco Popular ,Carretera Villaverde A Vallecas,Carretera Villaverde A Vallecas,Madrid,Espana,40.3577968,-3.6848445

Banco Popular ,Alberto Aguilera,"Alberto Aguilera, 8",Madrid,Espana,40.4298654,-3.7069623

Banco Popular ,Eraso,"Eraso, 21",Madrid,Espana,42.9494201,-1.8060142

Banco Popular ,Cea Bermudez,"Cea Bermudez, 53",Madrid,Espana,40.4389953,-3.7132866

Banco Popular ,Avenida Moratalaz,"Avenida Moratalaz, 137",Madrid,Espana,40.4055207,-3.64015724939

Banco Popular ,San Francisco de Sales,"San Francisco de Sales, 33",Madrid,Espana,14.4051175,-90.6052859

Banco Popular ,Panama,"Panama, 6",Madrid,Espana,30.3555347,-85.7986206

Banco Popular ,Avenida General,"Avenida General, 16",Madrid,Espana,40.4696412,-3.5810491

Banco Popular ,Avenida del Mediterraneo,"Avenida del Mediterraneo, 30",Madrid,Espana,38.5370313,-0.1231643

Banco Popular ,Paseo Extremadura,"Paseo Extremadura, 101",Madrid,Espana,39.5567156,-6.4156026

Banco Popular ,Diego de Leon,"Calle Diego de Leon, 52",Madrid,Espana,40.824107,0.5011293

Banco Popular ,Alcala,"Alcala, 289",Madrid,Espana,29.853171,-95.2505329

Banco Popular ,Sesena,"Sesena, 72",Madrid,Espana,40.1048269,-3.6963092

Banco Popular ,Genova,"Genova, 20",Madrid,Espana,29.42323,-98.5670999

Banco Popular ,Sierra Vieja,"Sierra Vieja, 64",Madrid,Espana,40.3771041,-3.6298689

Banco Popular ,Velazquez 34 3. Pl.,"Velazquez, 34",Madrid,Espana,41.7728418,-0.3260693

Banco Popular ,Doctor Perez Dominguez,"Doctor Perez Dominguez, 18",Madrid,Espana,40.3468192,-3.7075012

Banco Popular ,Quintana,"Quintana, 15",Madrid,Espana,35.5701575714,-105.676049429

Banco Popular ,Bravo Murillo,"Bravo Murillo, 296",Madrid,Espana,40.4510674,-3.7033717

Banco Popular ,Bolivia,"Bolivia, 26",Madrid,Espana,-16.99367005,-65.2485228306

Banco Popular ,Lopez de Hoyos,"Lopez de Hoyos, 346",Madrid,Espana,40.4593168,-3.6598477

Banco Popular ,Paseo de Las delicias,"Paseo de Las delicias, 91",Madrid,Espana,37.6002616,-0.9750856

Banco Popular ,Francos Rodriguez,"Francos Rodriguez, 47",Madrid,Espana,40.4576002,-3.7109087

Banco Popular ,Islas Cies,"Islas Cies, 2",Madrid,Espana,37.8857504,-4.800183

Banco Popular ,Francisco Gervas,"Francisco Gervas, 9",Madrid,Espana,40.4606277,-3.6908544

Banco Popular ,Jose Ortega Y Gasset,"Jose Ortega Y Gasset, 29",Madrid,Espana,-2.9160237,-79.0099174

Banco Popular ,Cedaceros,"Cedaceros, 9",Madrid,Espana,39.3634099,-1.8709985

Banco Popular ,Oca,"Oca, 69",Madrid,Espana,44.4118552,11.1405753

