Banco,Sucursal,Direccion,Ciudad,Pais,Latitud,Longitud

Bankinter ,Paseo de La Castellana,"Paseo de La Castellana, 29",Madrid,España,40.4358824,-3.6893211

Bankinter ,Paseo de La Castellana,"Paseo de La Castellana, 121",Madrid,España,40.4358824,-3.6893211

Bankinter ,Avenida Reina Victoria 31,"Avenida Reina Victoria 31,",Madrid,España,40.6389352,-4.0252454

Bankinter ,Orense,"Orense, 5",Madrid,España,42.5978558,-6.7192025

Bankinter ,Conde de Penalver,"Conde de Penalver, 23",Madrid,España,40.427393,-3.6756382

Bankinter ,Bravo Murillo,"Bravo Murillo, 126",Madrid,España,40.4510674,-3.7033717

Bankinter ,Fuencarral,"Fuencarral, 131",Madrid,España,40.4950279,-3.6921712

Bankinter ,Duque de Alba,"Duque de Alba, 7",Madrid,España,37.3235681,-3.5929154

Bankinter ,Lopez de Hoyos,"Lopez de Hoyos, 116 118",Madrid,España,40.4415849,-3.6781439

Bankinter ,Bravo Murillo,"Bravo Murillo, 297",Madrid,España,40.4510674,-3.7033717

Bankinter ,Paseo de Las delicias,"Paseo de Las delicias, 31",Madrid,España,-25.3262464,-57.6225802

Bankinter ,Alcala,"Alcala, 361",Madrid,España,29.853171,-95.2505329

Bankinter ,Ronda de Atocha 18,Ronda de Atocha 18,Madrid,España,40.4065721,-3.697498

Bankinter ,Marques de Urquijo,"Marques de Urquijo, 11",Madrid,España,43.5374917,-5.6481312

Bankinter ,Goya,"Goya, 34",Madrid,España,-34.6347617,-58.4854511

Bankinter ,Laguna,"Laguna, 40",Madrid,España,40.8833503,-4.1155082

Bankinter ,Principe de Vergara,"Principe de Vergara, 262",Madrid,España,36.5189667,-4.876947

Bankinter ,Mayor,"Mayor, 3",Madrid,España,42.580029,-4.1777762

Bankinter ,Narvaez,"Narvaez, 55",Madrid,España,2.7651581,-75.7684179

Bankinter ,Avenida de Bruselas,"Avenida de Bruselas, 45",Madrid,España,42.8495354,-2.6464733

Bankinter ,Avenida de Moratalaz,"Avenida de Moratalaz, 70",Madrid,España,40.406009,-3.6500752

Bankinter ,Julio Palacios,"Julio Palacios, 23",Madrid,España,-16.3973949,-71.5774479

Bankinter ,Suecia,"Suecia, 41 43",Madrid,España,-25.3026585,-57.6147585

Bankinter ,Avenida concha Espina,"Avenida concha Espina, 12",Madrid,España,40.5900679,-4.1574765

Bankinter ,Doctor Fleming,"Doctor Fleming, 33 35",Madrid,España,42.6165605,-6.4175543

Bankinter ,Agustin Foxa,"Agustin Foxa, 32",Madrid,España,40.4702578,-3.6852099

Bankinter ,Castello,"Castello, 102",Madrid,España,45.8418473,9.1055608

Bankinter ,Avenida General Peron,"Avenida General Peron, 38",Madrid,España,-32.2484526,-63.9740604

Bankinter ,Santa Engracia,"Santa Engracia, 97",Madrid,España,42.3138503,-0.6436268

Bankinter ,Corazon de Maria,"Corazon de Maria, 39",Madrid,España,-28.434994,-65.7800024

Bankinter ,Embajadores,"Embajadores, 208",Madrid,España,25.6517913,-100.3121103

Bankinter ,Fernando VI,"Fernando VI, 15",Madrid,España,43.4818228,-8.2254397

Bankinter ,Juan de Mena,"Juan de Mena, 21",Madrid,España,-25.286527,-57.6242667

Bankinter ,Lagasca,"Lagasca, 39",Madrid,España,40.423112,-3.6856073

Bankinter ,Avenida Mediterraneo,"Avenida Mediterraneo, 19",Madrid,España,36.8237326,-2.4448076

Bankinter ,Principe de Vergara,"Principe de Vergara, 204",Madrid,España,36.5189667,-4.876947

Bankinter ,Arturo Soria,"Arturo Soria, 191",Madrid,España,40.4420021,-3.6409447

Bankinter ,Rios Rosas,"Rios Rosas, 48",Madrid,España,41.3597267,2.089075

Bankinter ,Avenida de Badajoz,"Avenida de Badajoz, 15",Madrid,España,39.2785541,-7.43190166794

Bankinter ,Caleruega,"Caleruega, 5",Madrid,España,41.825458,-3.4870264

Bankinter ,Arroyofresno,"""Arroyofresno, 17""",Madrid,España,40.4751655,-3.74301953498

